wavelength,intensities
177.47078000000005,1095.4352638501564
177.85782629844613,891.5327173227378
178.24483526696974,819.0540222440627
178.6318068953475,816.9527963272985
179.01874117335726,816.1507192515256
179.4056380907759,1107.4277564935712
179.79249763738065,118.66136032397175
180.179319802949,-1037.4532864168677
180.566104577258,-788.6061176341113
180.9528519500849,-539.0428157846392
181.33956191120694,-281.7817633075217
181.72623445040142,-78.31762915774476
182.1128695574454,-5.874063208636656
182.4994672221165,-4.096966340994587
182.88602743419176,-3.5165689483488993
183.27255018344835,-2.5375852418256506
183.65903545966341,-0.5125573965560966
184.04548325261442,1.3752726246672262
184.43189355207866,13.104420364671796
184.81826634783317,62.94308832781289
185.20460162965526,141.67405860390102
185.5908993873221,223.201241865529
185.9771596106111,304.6617087639632
186.36338228929935,386.72258869085306
186.74956741316416,468.9900969623523
187.13571497198288,549.6191171501099
187.5218249555324,630.4527390763486
187.90789735359033,711.8522839021377
188.29393215593385,784.4840094691335
188.67992935234,817.8425042910503
189.06588893258632,820.2328483656472
189.45181088644983,822.3645324945718
189.83769520370777,826.411807522806
190.22354187413742,829.956836163874
190.609350887516,833.2739530006944
190.99512223362083,838.4596629205148
191.38085590222911,842.9515041295408
191.76655188311813,848.654174156279
192.15221016606495,853.9956548098784
192.53783074084717,858.3902799414127
192.92341359724153,864.341870128359
193.3089587250257,869.8560806561328
193.69446611397686,874.169801717278
194.07993575387206,879.02629230748
194.46536763448864,885.0260093970976
194.8507617456038,890.0495019940512
195.23611807699487,895.9250715539105
195.621436618439,902.6391387231854
196.00671735971352,909.8221727602156
196.39196029059565,917.9347257999369
196.77716540086251,927.4283553083341
197.16233268029148,938.2865519224346
197.54746211865987,949.8724396291286
197.93255370574468,964.9121543750742
198.31760743132327,983.2033776977523
198.70262328517305,1003.8215590260844
199.08760125707101,1029.6793313089806
199.4725413367945,1061.632481928334
199.85744351412075,1100.9479007846671
200.242307778827,1149.5514447734072
200.62713412069033,1206.0313454664647
201.01192252948837,1271.1367698958386
201.396672994998,1348.0722017917583
201.7813855069967,1436.3962400992323
202.1660600552615,1536.9292265928261
202.55069662956984,1651.7696897397802
202.93529521969901,1779.6856036695451
203.31985581542588,1923.9137481875932
203.70437840652804,2087.3617178982863
204.08886298278242,2268.5443406020704
204.4733095339666,2469.3406556069663
204.8577180498578,2691.256056952472
205.24208852023312,2932.3383565291733
205.6264209348696,3197.594754674932
