wavelength,intensities
187.18712,564.0690437938296
187.65076699607755,562.0039022582083
188.11437307657653,568.4066957845961
188.57793822989632,577.4411564618448
189.0414624444363,574.6398372417442
189.5049457085959,571.2616449630509
189.96838801077445,577.3581897727046
190.43178933937145,586.0871705162741
190.89514968278627,589.9401207763693
191.35846902941833,594.7538339738799
191.821747367667,601.1041272266581
192.28498468593168,610.9238940230439
192.74818097261178,631.1324049131415
193.2113362161067,655.3248433886064
193.67445040481584,670.6038498429966
194.13752352713863,674.3705733342359
194.60055557147442,672.6422358696808
195.06354652622264,670.4735912856008
195.52649637978274,673.3887213531716
195.98940512055404,682.3827762318863
196.45227273693598,720.9524074761797
196.915099217328,415.83740248738644
197.3778845501294,87.11507789835213
197.84062872373968,105.93264980508171
198.3033317265582,127.86913158657019
198.76599354698436,136.47639751309825
199.22861417341758,129.5455892725511
199.69119359425727,149.82174599315147
200.15373179790276,169.08762687792034
200.61622877275357,166.9314562245687
201.078684507209,178.70086476950183
201.54109898966848,186.9533761127075
202.00347220853146,188.6254947580056
202.46580415219728,197.1009643889496
202.92809480906539,207.7186204131733
203.39034416753512,217.97217954465393
203.85255221600596,220.7852442022523
204.31471894287722,227.64486824478516
204.7768443365484,239.93839829900458
205.2389283854189,239.25156540940137
205.70097107788803,233.5290587485011
206.16297240235517,235.67551592687275
206.62493234721987,233.52860563132958
207.08685090088142,229.41144913360256
207.54872805173932,236.28082897820875
208.01056378819285,242.14153273395857
208.4723580986415,233.27209421050594
208.93411097148464,219.96482453326448
209.39582239512166,210.8763306931126
209.85749235795197,207.8902890722078
210.319120848375,211.55171081318036
210.78070785479014,207.35098581972568
211.2422533655967,189.1169387712346
211.70375736919422,178.02102086829132
212.16521985398208,173.3614469530177
212.62664080835967,171.76139756189792
213.08802022072626,176.08303467165277
213.54935807948146,178.6342281302029
214.01065437302447,178.15865571264956
214.47190908975486,175.32319494528963
214.93312221807201,173.03933645254676
215.3942937463752,172.31592889351197
215.85542366306396,175.44000332248999
216.31651195653762,180.89342345665483
216.7775586151957,186.79208734995686
217.23856362743737,192.7239386697526
217.69952698166222,197.8082028432559
218.16044866626962,179.21488003004765
218.62132866965894,160.7673685912137
219.0821669802296,157.8628813358928
219.54296358638103,144.1727374944604
220.0037184765125,131.96374088380188
220.46443163902364,130.28082205938478
220.92510306231367,131.59589560693587
221.385732734782,125.26074010186937
221.84632064482813,119.35800585889542
222.3068667808514,121.44626947008963
222.7673711312512,119.03936384022249
223.22783368442697,123.59040975811845
223.6882544287781,134.89693640609727
224.14863335270402,151.24879226430696
224.60897044460404,164.6132860207733
225.06926569287765,159.90097341840362
225.52951908592422,154.04826518850396
225.98973061214315,152.84847136025053
226.44990025993383,155.74891813189026
226.91002801769577,162.7999687746658
227.3701138738282,174.93330596184015
227.8301578167306,184.8742137017317
228.2901598348024,181.90181688430522
228.750119916443,172.41675138249758
229.21003805005176,167.94703076569178
229.6699142240281,168.391740934763
230.1297484267714,156.4947023252125
230.5895406466811,141.83429248261004
231.0492908721566,135.13432499667525
231.5089990915973,134.13734073820174
231.96866529340258,141.54744367707883
232.4282894659719,143.0175404982861
232.88787159770453,136.58545359822082
233.34741167699994,143.95647534355365
233.80690969225765,162.38989726236358
234.2663656318769,166.95882642138193
234.7257794842572,161.72339638248388
235.1851512377979,152.75898500502836
235.64448088089836,152.2638518844034
236.10376840195804,165.11929588235364
236.56301378937638,172.346780283319
237.02221703155269,175.5018010787676
237.48137811688645,177.99541221948672
237.94049703377695,176.56650050055592
238.39957377062373,175.45789684152467
238.8586083158262,172.38628606479145
239.31760065778363,168.22157913738664
239.77655078489542,169.3344454687075
240.23545868556113,178.65873108970612
240.69432434818003,183.68834372942231
241.15314776115156,177.18408936313799
241.61192891287516,160.7987331944596
242.07066779175017,148.5882260902008
242.52936438617598,132.58066036523422
242.98801868455206,119.59520671315599
243.44663067527782,124.72172709228505
243.90520034675257,130.62126689738432
244.36372768737579,134.29931900491135
244.82221268554684,137.47278220763832
245.28065532966517,145.36325490870544
245.73905560813014,146.1489362534458
246.19741350934117,146.1915133365527
