wavelength,intensities
187.18712,1327.8078520835663
187.65076699607755,1326.2683300610397
188.11437307657653,1325.2662687800632
188.57793822989632,1324.9588471927293
189.0414624444363,1324.9925761762738
189.5049457085959,1324.6725738391053
189.96838801077445,1325.2828892416196
190.43178933937145,1326.6924067180953
190.89514968278627,1327.0928734885808
191.35846902941833,1327.6901915457127
191.821747367667,1360.8292082468736
192.28498468593168,698.7807647974274
192.74818097261178,3.328795023934974
193.2113362161067,2.778694075966157
193.67445040481584,6.697683747531194
194.13752352713863,11.468392434000691
194.60055557147442,14.861719068989041
195.06354652622264,19.85326869097111
195.52649637978274,25.710092732922753
195.98940512055404,30.7544921122097
196.45227273693598,36.66389178829474
196.915099217328,43.93500467120247
197.3778845501294,51.480146176996456
197.84062872373968,57.71547813014252
198.3033317265582,62.98140376538543
198.76599354698436,68.53559726387141
199.22861417341758,74.06241104809155
199.69119359425727,79.36584652682886
200.15373179790276,85.40329691419504
200.61622877275357,91.30946409474458
201.078684507209,95.87938230926981
201.54109898966848,99.8992476177439
202.00347220853146,103.52654950880205
202.46580415219728,107.73027335891935
202.92809480906539,112.14223822559624
203.39034416753512,115.6507243731758
203.85255221600596,117.83730543485596
204.31471894287722,120.35038529561477
204.7768443365484,123.40014803435217
205.2389283854189,125.79562030304373
205.70097107788803,127.82443479217596
206.16297240235517,128.7540229158555
206.62493234721987,128.67583842032207
207.08685090088142,129.43510073770918
207.54872805173932,130.5476458269126
208.01056378819285,132.0525873676681
208.4723580986415,133.0735581306418
208.93411097148464,133.41414127388052
209.39582239512166,134.0297740567521
209.85749235795197,133.86015691363173
210.319120848375,133.0881456253983
210.78070785479014,132.73475723073543
211.2422533655967,133.10152725018776
211.70375736919422,133.72997056967733
212.16521985398208,132.9712714656184
212.62664080835967,131.67626717542396
213.08802022072626,131.1656126976557
213.54935807948146,130.14444372941398
214.01065437302447,128.4693282020706
214.47190908975486,127.38275768563292
214.93312221807201,126.38768041145707
215.3942937463752,124.5287710117747
215.85542366306396,123.5599837862551
216.31651195653762,124.48864072126565
216.7775586151957,124.88089155544854
217.23856362743737,123.41542428848932
217.69952698166222,121.28214731218097
218.16044866626962,119.59405900325008
218.62132866965894,118.91378789704078
219.0821669802296,117.39488393701811
219.54296358638103,116.15096270273756
220.0037184765125,115.90244816490822
220.46443163902364,115.75830186967892
220.92510306231367,115.09062809115306
221.385732734782,113.938542954694
221.84632064482813,114.10811012791143
222.3068667808514,115.20751741501527
222.7673711312512,115.28647989941432
223.22783368442697,115.14274582254757
223.6882544287781,115.66627036514225
224.14863335270402,114.89393703661723
224.60897044460404,113.8337468361662
225.06926569287765,113.23170365158309
225.52951908592422,111.70123666322141
225.98973061214315,110.70736091537894
226.44990025993383,111.30964833312635
226.91002801769577,112.25240815696776
227.3701138738282,113.10327555080794
227.8301578167306,113.46987354240974
228.2901598348024,115.77422256030526
228.750119916443,119.79238480659446
229.21003805005176,121.07442859149775
229.6699142240281,120.14479667899778
230.1297484267714,120.2359374827541
230.5895406466811,120.82486780328352
231.0492908721566,121.42710851693177
231.5089990915973,121.47945691364403
231.96866529340258,121.66189597458437
232.4282894659719,121.88350202947902
232.88787159770453,120.71873957618804
233.34741167699994,121.63545431610788
233.80690969225765,123.9264379530864
234.2663656318769,125.13083875558674
234.7257794842572,125.36639755736003
235.1851512377979,125.60192337889683
235.64448088089836,125.26119635244964
236.10376840195804,125.05125967826093
236.56301378937638,125.78397609818914
237.02221703155269,124.85420722040169
237.48137811688645,123.62293879984918
237.94049703377695,122.9421932925974
238.39957377062373,122.66757838958867
238.8586083158262,123.19141385877674
239.31760065778363,123.20521272680949
239.77655078489542,123.67699754807506
240.23545868556113,123.9915420753518
240.69432434818003,123.32428053791665
241.15314776115156,123.16762783248008
241.61192891287516,123.5736304623835
242.07066779175017,124.05794326532103
242.52936438617598,124.3456776173081
242.98801868455206,124.24026882452958
243.44663067527782,123.5593598750206
243.90520034675257,123.52023590513853
244.36372768737579,124.06994411445747
244.82221268554684,125.4182626164791
245.28065532966517,125.82417050470036
245.73905560813014,124.18770472466146
246.19741350934117,124.17444641271248
246.65572902169765,124.73813251648805
247.11400213359897,123.70509437065276
247.57223283344462,123.43052981751825
248.0304211096339,124.92189422558246
248.48856695056617,126.20388359034706
248.94667034464095,126.38697649819197
249.4047312802576,125.4836536528682
249.8627497458155,125.33973101581614
250.3207257297141,125.47111985267539
250.77865922035284,125.60259854491058
251.23655020613097,126.51892985848566
251.69439867544799,126.08735868515829
252.15220461670327,124.80505324379261
252.60996801829623,123.70527650771112
253.06768886862633,123.24676715550659
253.52536715609295,123.73085803446475
253.98300286909534,123.58697021403832
254.4405959960331,124.01912774258976
254.89814652530555,125.6817999755845
255.35565444531204,127.02999469792282
255.81311974445208,127.55316992938015
256.270542411125,127.08198100473251
256.7279224337302,126.24447066671043
257.1852598006671,124.81855951024848
257.64255450033517,123.44461308587215
258.0998065211337,122.92094976630871
258.55701585146215,122.89464413281713
259.01418247971986,123.24739260934675
259.47130639430634,123.0243946033275
259.9283875836209,122.51379597982222
260.385426036063,122.34354077035928
260.84242174003197,122.89303095045088
261.29937468392734,123.82232940875086
261.7562848561484,124.26757366818447
262.21315224509453,124.29369297001924
262.6699768391652,123.78283083611458
263.12675862675985,123.33748607312657
263.58349759627777,122.40829889436905
264.0401937361185,121.50534302244623
264.49684703468137,120.288557770748
264.9534574803657,118.78366037744064
265.41002506157093,118.90104423334836
265.8665497666966,118.78247425479653
266.32303158414203,118.89957245367923
266.77947050230654,120.12979554455818
267.23586650958964,121.04592493263684
267.6922195943906,122.59025793215865
268.148529745109,123.14053705715769
268.60479695014413,124.00450268244339
269.0610211978954,126.22856845432062
