wavelength,intensities
177.47078000000005,805.8537743149241
177.85782629844613,807.4845977896673
178.24483526696974,809.4976363536637
178.6318068953475,812.0998623441476
179.01874117335726,815.5980620074643
179.4056380907759,820.1693062539766
179.79249763738065,825.5910513082031
180.179319802949,831.8157526857524
180.566104577258,838.479387187098
180.9528519500849,845.6889024307253
181.33956191120694,853.5015830997244
181.72623445040142,862.0070159622733
182.1128695574454,871.2673534206735
182.4994672221165,880.8040832734948
182.88602743419176,890.7418255808877
183.27255018344835,953.407291300233
183.65903545966341,545.810716309875
184.04548325261442,87.62144252200892
184.43189355207866,102.35846953778646
184.81826634783317,117.6138242512755
185.20460162965526,132.87060007806025
185.5908993873221,148.54909653112233
185.9771596106111,164.7644526830633
186.36338228929935,181.3668444336647
186.74956741316416,197.26741840288855
187.13571497198288,212.65534344635296
187.5218249555324,227.28887324595482
187.90789735359033,241.14533331900577
188.29393215593385,254.48961190140898
188.67992935234,267.16575132932815
189.06588893258632,278.89526557667324
189.45181088644983,289.64684329224247
189.83769520370777,300.13557462194666
190.22354187413742,310.46806295534805
190.609350887516,319.99916964131944
190.99512223362083,328.1113475437915
191.38085590222911,335.0968672617309
191.76655188311813,341.391504532148
192.15221016606495,347.3217675536728
192.53783074084717,352.2905152181798
192.92341359724153,356.4122543646131
193.3089587250257,360.1821390116218
193.69446611397686,363.53051168551167
194.07993575387206,366.58763207556234
194.46536763448864,369.1243534405207
194.8507617456038,370.8542683539419
195.23611807699487,372.0788309379873
195.621436618439,373.13644582540434
196.00671735971352,373.9326947390041
196.39196029059565,374.8561835792269
196.77716540086251,375.47121747945596
197.16233268029148,374.85173157283333
197.54746211865987,373.91621152977007
197.93255370574468,372.89358847186384
198.31760743132327,371.6443000589519
198.70262328517305,370.32793814709834
199.08760125707101,368.9740348159038
199.4725413367945,367.5705587380317
199.85744351412075,366.2667903592487
200.242307778827,364.98252335020806
200.62713412069033,363.4666632131987
201.01192252948837,362.34905600901664
201.396672994998,361.26891824513245
201.7813855069967,359.3601051753374
