wavelength,intensities
177.47078000000005,2421.2230049026934
177.85782629844613,2408.611953770396
178.24483526696974,2397.5847129662743
178.6318068953475,2387.1575603631013
179.01874117335726,2376.9929405556954
179.4056380907759,2539.3352700377627
179.79249763738065,1304.631732580286
180.179319802949,-94.24451776387554
180.566104577258,-85.35648981443639
180.9528519500849,-73.26730589439398
181.33956191120694,-59.8435330558283
181.72623445040142,-43.04709352517948
182.1128695574454,-24.628196029985908
182.4994672221165,-4.0383430561697455
182.88602743419176,17.9661414745677
183.27255018344835,38.97019739268788
183.65903545966341,60.231053128026616
184.04548325261442,81.38208372413501
184.43189355207866,101.36018838998973
184.81826634783317,120.07011107381084
185.20460162965526,139.92318271658857
185.5908993873221,160.3099948773143
185.9771596106111,179.16491726476175
186.36338228929935,196.19776356899004
186.74956741316416,212.26364304939852
187.13571497198288,229.97123235258522
187.5218249555324,247.38229985166578
187.90789735359033,262.9378678941589
188.29393215593385,278.0054675563225
188.67992935234,293.46691472452943
189.06588893258632,306.69321601271815
189.45181088644983,317.23497362608936
189.83769520370777,328.55082966402995
190.22354187413742,338.6334762824979
190.609350887516,347.5886015950518
190.99512223362083,354.60130635377624
191.38085590222911,358.7675954072909
191.76655188311813,362.78368814156886
192.15221016606495,365.83698234134357
192.53783074084717,367.3599177322981
192.92341359724153,369.53257947759556
193.3089587250257,371.42131136263714
193.69446611397686,371.27230598991406
194.07993575387206,372.5126703394473
194.46536763448864,373.4903729681152
194.8507617456038,372.72064606494797
195.23611807699487,372.3926798519801
195.621436618439,372.0651348538429
196.00671735971352,371.2445075660399
196.39196029059565,370.3262591777483
196.77716540086251,369.6391774500527
197.16233268029148,368.6985261929564
197.54746211865987,367.00357435638824
197.93255370574468,363.5164686116154
198.31760743132327,360.530033231936
198.70262328517305,358.08123702562125
199.08760125707101,355.7217342137463
199.4725413367945,353.48170853735263
199.85744351412075,351.28643118763415
200.242307778827,350.35366667872285
200.62713412069033,348.77159071239475
201.01192252948837,347.8164087185066
201.396672994998,346.7936633019615
201.7813855069967,345.5390270341484
202.1660600552615,343.71712468503125
202.55069662956984,343.067085694011
202.93529521969901,343.3503868426542
203.31985581542588,343.29837152908965
203.70437840652804,343.49252298438864
204.08886298278242,341.7671710238654
204.4733095339666,340.444815307286
204.8577180498578,339.7497412309135
205.24208852023312,338.47977472613167
205.6264209348696,336.8964369394646
206.0107152835448,336.35875928069936
206.39497155603604,335.2460808513739
206.77918974212017,333.6477570397519
207.16336983157458,331.0258002928897
207.54751181417674,330.0322769541341
207.93161567970364,331.67525460880915
208.3156814179328,330.46538514303626
208.69970901864107,328.50150245458826
209.08369847160606,328.48715813699533
209.46764976660467,329.8021874726643
209.85156289341458,330.8479159377401
210.23543784181257,332.04283195129403
210.6192746015759,332.99878622286775
211.00307316248237,334.2687839790506
211.38683351430845,334.19449010679693
211.77055564683215,332.69348764375485
212.15423954983004,333.95599998759263
212.53788521307985,335.72582471151446
212.92149262635854,336.8308658072705
213.3050617794434,336.98770892219886
213.68859266211174,337.2190721253053
214.07208526414078,337.83924331201337
214.4555395753078,338.2356893237169
214.83895558539,340.1251629685467
215.22233328416456,342.12611388476813
215.60567266140885,343.2235986752755
215.98897370690005,344.1644669540481
216.37223641041518,343.3733952695104
216.755460761732,342.4999078001171
217.13864675062717,343.0968474124428
217.52179436687842,344.0971128033302
217.90490360026257,345.79916773486093
218.2879744405572,346.3583490844032
218.67100687753933,346.19348471810747
219.0540009009864,345.77526908206096
219.43695650067554,346.65618166719014
219.8198736663839,348.89570618132257
220.20275238788878,351.81470528591836
220.58559265496757,354.0768423713971
220.9683944573973,355.324049955427
221.35115778495543,356.15346424132736
221.733882627419,356.2436772363917
222.11656897456538,358.1108446753158
222.49921681617167,359.4474126714489
222.88182614201529,358.9994002855499
223.2643969418733,357.296667259731
223.64692920552312,356.16874589510684
224.02942292274196,355.51197245180623
224.41187808330693,353.56395167642256
224.79429467699538,352.6681714994656
225.1766726935845,352.16032422166575
225.55901212285158,350.8460822378275
225.9413129545738,348.456840436148
226.3235751785284,347.0907286641008
226.70579878449274,349.5769830792997
227.0879837622439,352.57881918831845
227.47013010155928,353.1319369500857
227.85223779221602,352.72101064570876
228.2343068239915,353.6311168744701
228.61633718666243,355.10126415636813
228.9983288700069,355.46664229330196
229.3802818638015,355.47400539376207
229.76219615782384,356.2206735515997
230.14407174185095,357.214007452674
