wavelength,intensity
787.333,0.04
787.639,0.04
787.945,0.04
788.251,0.04
788.557,0.04
788.863,0.04
789.169,0.04
789.475,0.04
789.781,0.04
790.087,0.04
790.393,0.04
790.699,0.04
791.004,0.04
791.31,0.04
791.616,0.04
791.921,0.04
792.227,0.04
792.532,0.04
792.837,0.04
793.143,0.04
793.448,0.04
793.753,0.04
794.058,0.04
794.363,0.04
794.668,0.04
794.973,0.04
795.278,0.03
795.583,0.04
795.888,0.04
796.193,0.04
796.497,0.04
796.802,0.03
797.107,0.03
797.411,0.04
797.716,0.04
798.02,0.04
798.324,0.03
798.629,0.04
798.933,0.04
799.237,0.03
799.541,0.03
799.845,0.03
800.149,0.03
800.453,0.03
800.757,0.03
801.061,0.03
801.365,0.03
801.669,0.03
801.972,0.03
802.276,0.03
802.58,0.04
802.883,0.04
803.187,0.04
803.49,0.04
803.793,0.04
804.097,0.04
804.4,0.04
804.703,0.04
805.006,0.04
805.309,0.04
805.612,0.04
805.915,0.04
806.218,0.04
806.521,0.04
806.824,0.04
807.127,0.04
807.429,0.04
807.732,0.04
808.034,0.04
808.337,0.04
808.639,0.04
808.942,0.04
809.244,0.04
809.546,0.04
809.849,0.04
810.151,0.04
810.453,0.04
810.755,0.04
811.057,0.04
811.359,0.04
811.661,0.04
811.963,0.04
812.265,0.04
812.566,0.04
812.868,0.04
813.17,0.04
813.471,0.04
813.773,0.04
814.074,0.04
814.376,0.04
814.677,0.04
814.978,0.04
815.279,0.04
815.581,0.04
815.882,0.04
816.183,0.04
816.484,0.04
816.785,0.04
817.086,0.04
817.386,0.04
817.687,0.04
817.988,0.04
818.289,0.04
818.589,0.04
818.89,0.04
819.19,0.04
819.491,0.04
819.791,0.04
820.092,0.04
820.392,0.03
820.692,0.03
820.992,0.03
821.292,0.03
821.592,0.03
821.892,0.03
822.192,0.03
822.492,0.03
822.792,0.03
823.092,0.03
823.391,0.04
823.691,0.04
823.991,0.04
824.29,0.04
824.59,0.04
824.889,0.03
825.189,0.03
825.488,0.03
825.787,0.03
826.086,0.03
826.385,0.03
826.685,0.03
826.984,0.03
827.283,0.03
827.582,0.03
827.88,0.03
828.179,0.03
828.478,0.02
828.777,0.02
829.075,0.02
829.374,0.03
829.672,0.03
829.971,0.03
830.269,0.03
830.568,0.03
830.866,0.03
831.164,0.03
831.462,0.03
831.761,0.04
832.059,0.04
832.357,0.04
832.655,0.04
832.952,0.04
833.25,0.04
833.548,0.04
833.846,0.04
834.144,0.03
834.441,0.03
834.739,0.03
835.036,0.03
835.334,0.02
835.631,0.02
835.928,0.02
836.226,0.02
836.523,0.02
836.82,0.02
837.117,0.02
837.414,0.02
837.711,0.02
838.008,0.03
838.305,0.03
838.602,0.03
838.899,0.03
839.195,0.03
839.492,0.03
839.789,0.03
840.085,0.03
840.382,0.03
840.678,0.03
840.974,0.03
841.271,0.02
841.567,0.02
841.863,0.02
842.159,0.03
842.455,0.03
842.751,0.03
843.047,0.04
843.343,0.04
843.639,0.04
843.935,0.04
844.231,0.04
844.526,0.04
844.822,0.04
845.118,0.05
845.413,0.04
845.709,0.04
846.004,0.04
846.299,0.04
846.595,0.04
846.89,0.04
847.185,0.04
847.48,0.05
847.775,0.05
848.07,0.04
848.365,0.05
848.66,0.05
848.955,0.06
849.25,0.06
849.544,0.06
849.839,0.06
850.134,0.06
850.428,0.06
850.723,0.05
851.017,0.05
851.311,0.06
851.606,0.04
851.9,0.04
852.194,0.04
852.488,0.04
852.782,0.04
853.076,0.03
853.37,0.04
853.664,0.04
853.958,0.04
854.252,0.04
854.546,0.05
854.839,0.05
855.133,0.05
855.426,0.04
855.72,0.04
856.013,0.05
856.307,0.05
856.6,0.05
856.893,0.06
857.187,0.05
857.48,0.05
857.773,0.04
858.066,0.04
858.359,0.04
858.652,0.05
858.945,0.06
859.238,0.05
859.53,0.05
859.823,0.04
860.116,0.04
860.408,0.05
860.701,0.04
860.993,0.06
861.286,0.07
861.578,0.06
861.87,0.05
862.163,0.03
862.455,0.03
862.747,0.01
863.039,0.03
863.331,0.03
863.623,0.03
863.915,0.04
864.207,0.03
864.498,0.03
864.79,0.02
865.082,0.04
865.373,0.04
865.665,0.04
865.956,0.05
866.248,0.03
866.539,0.04
866.831,0.03
867.122,0.02
867.413,0.01
867.704,0.01
867.995,0.02
868.286,0.02
868.577,0.05
868.868,0.06
869.159,0.04
869.45,0.04
869.741,0.04
870.031,0.05
870.322,0.07
870.612,0.11
870.903,0.14
871.193,0.1
871.484,0.09
871.774,0.07
872.064,0.05
872.355,0.07
872.645,0.08
872.935,0.06
873.225,0.06
873.515,0.06
873.805,0.05
874.095,0.02
874.384,0.03
874.674,0.05
874.964,0.04
875.253,0.05
875.543,0.06
875.833,0.08
876.122,0.08
876.411,0.08
876.701,0.08
876.99,0.04
